demand;price;production
1;9;2
5;10;4
4;9;6
5;8;8
9;7;10
10;6;12
14;6;14
15;5;16
19;6;18
18;5;20
22;5;22
26;6;24
25;5;26
29;6;28
28;5;30
32;5;32
36;6;34
35;5;36
39;6;38
38;5;40
42;5;42
46;6;44
45;5;46
49;6;48
48;5;50
52;5;52
56;6;54
55;5;56
59;6;58
58;5;60
62;5;62
66;6;64
65;5;66
69;6;68
68;5;70
72;5;72
76;6;74
75;5;76
79;6;78
78;5;80
82;5;82
86;6;84
85;5;86
89;6;88
88;5;90
92;5;92
96;6;94
95;5;96
99;6;98
98;5;100
102;5;102
106;6;104
105;5;106
109;6;108
108;5;110
112;5;112
116;6;114
115;5;116
119;6;118
118;5;120
122;5;122
126;6;124
125;5;126
129;6;128
128;5;130
132;5;132
136;6;134
135;5;136
139;6;138
138;5;140
142;5;142
146;6;144
145;5;146
149;6;148
148;5;150
152;5;152
156;6;154
155;5;156
159;6;158
158;5;160
162;5;162
166;6;164
165;5;166
169;6;168
168;5;170
172;5;172
176;6;174
175;5;176
179;6;178
178;5;180
182;5;182
186;6;184
185;5;186
189;6;188
188;5;190
192;5;192
196;6;194
195;5;196
199;6;198
198;5;200
202;5;202
206;6;204
205;5;206
209;6;208
208;5;210
212;5;212
216;6;214
215;5;216
219;6;218
218;5;220
222;5;222
226;6;224
225;5;226
229;6;228
228;5;230
232;5;232
236;6;234
235;5;236
239;6;238
238;5;240
242;5;242
246;6;244
245;5;246
249;6;248
248;5;250
252;5;252
256;6;254
255;5;256
259;6;258
258;5;260
262;5;262
266;6;264
265;5;266
269;6;268
268;5;270
272;5;272
276;6;274
275;5;276
279;6;278
278;5;280
282;5;282
286;6;284
285;5;286
289;6;288
288;5;290
292;5;292
296;6;294
295;5;296
299;6;298
298;5;300
